name,platform,score,users,cluster,distance_from_centroid
Dead Island,PC,80,1543,0,1.792610074980866
Assassin's Creed III,PC,80,2059,0,2.448782079337353
Outlast,PC,80,1619,0,1.8888312679377477
Elite: Dangerous,PC,80,1833,0,2.160661986932617
Valorant,PC,80,2919,2,2.511311335074525
Far Cry 4,PC,80,1508,0,1.7483666859213203
Day of Defeat: Source,PC,80,1901,0,2.247257977291758
World of Tanks,PC,80,1841,0,2.1708449626436757
Hitman: Absolution,PC,79,1581,0,1.832150084372528
RAGE,PC,79,1730,0,2.0219351722986776
Tom Clancy's Rainbow Six Siege,PC,79,1478,0,1.7012818053158163
Tom Clancy's The Division 2: Warlords of New York,PC,79,1498,0,1.7266687522238573
World of Warcraft: Battle for Azeroth,PC,79,1663,0,1.9365350594917614
Star Wars: Battlefront II,PC,78,2986,2,2.4604495641228907
Mafia II,PC,77,2047,0,2.421945847854613
Watch Dogs,PC,77,3530,2,1.8167336620485446
Spec Ops: The Line,PC,76,1605,0,1.8579356497351043
Kingdom Come: Deliverance,PC,76,2434,0,2.9199986974798104
Dying Light,PC,75,1691,0,1.9727045501684082
Batman: Arkham Origins,PC,74,1465,0,1.6949343614461352
Call of Duty: Black Ops II,PC,74,1864,0,2.2007885556755222
Black Desert Online,PC,73,1524,0,1.7821085268291714
Star Wars Battlefront,PC,72,1666,0,1.9754095717423812
The Elder Scrolls Online,PC,71,2565,0,3.1246115924840803
Assassin's Creed Unity,PC,70,1920,0,2.3279612833886656
Batman: Arkham Knight,PC,70,2290,0,2.790983911505167
Thief,PC,70,1576,0,1.9038721106569696
The Sims 4,PC,70,2396,0,2.924487789835853
Diaries of a Spaceport Janitor,PC,69,2495,0,3.0651546786117216
Warframe,PC,69,1666,0,2.0377211458063162
Call of Duty: Ghosts,PC,68,3500,2,2.2203183755446894
Counter-Strike: Condition Zero,PC,65,1610,0,2.0958468529757677
Star Wars Battlefront II,PC,65,2988,2,2.8931405771197407
SimCity,PC,64,4539,2,1.7626591488332732
Mafia III,PC,62,1522,1,2.0259611382270184
No Man's Sky,PC,61,2356,1,3.047157780210612
Warcraft III: Reforged,PC,59,30532,2,33.226776417527226
Anthem,PC,59,3642,2,2.61963845620526
Fallout 76,PC,52,6454,2,3.3975825843558374
Aliens: Colonial Marines,PC,45,1211,1,1.7734657424899043
MTV Sports: Skateboarding featuring Andy Macdonald,PlayStation,40,0,1,1.7046107637286834
Ultimate Beach Soccer,Xbox,39,5,1,1.6888505220775925
Resident Evil: Survivor,PlayStation,39,87,1,1.7628477289006332
Motocross Mania 3,Xbox,38,6,1,1.7513889435651382
Naruto Shippuden: Dragon Blade Chronicles,Nintendo,38,14,1,1.7383540687840926
Carnival Games: Mini-Golf,Nintendo,38,8,1,1.7385526746970854
Far Cry Vengeance,Nintendo,38,58,1,1.7379510999391679
Speed Zone,Nintendo,37,11,1,1.8028408173148713
Legend of the Dragon,Nintendo,37,5,1,1.8030489422206826
Duke Nukem: Land of the Babes,PlayStation,37,34,1,1.8836947238866002
Fight Club,Xbox,37,12,1,1.8151205466556364
Wonder World Amusement Park,Nintendo,37,4,1,1.8030868593959648
Ready 2 Rumble Revolution,Nintendo,37,5,1,1.8030489422206826
Mike Tyson Heavyweight Boxing,Xbox,37,0,1,1.8155559675929702
Escape from Bug Island,Nintendo,37,26,1,1.8024658969474385
Tamagotchi Party On!,Nintendo,37,6,1,1.803011947721946
Torino 2006 - the Official Video Game of the XX Olympic Winter Games,Xbox,36,0,1,1.8806973828714866
X-Men: Destiny,Nintendo,36,14,1,1.8683372033018488
MTV's Celebrity Deathmatch,Xbox,36,12,1,1.880277046971714
Terminator 3: Rise of the Machines,Xbox,35,10,1,1.9465868688800239
George of the Jungle and the Search for the Secret,Nintendo,35,6,1,1.9352415210390073
The Golden Compass,Nintendo,35,6,1,1.9352415210390073
Showtime Championship Boxing,Nintendo,35,11,1,1.9350820844868155
Bad Boys: Miami Takedown,Xbox,35,9,1,1.9466177134296805
Valhalla Knights: Eldar Saga,Nintendo,35,20,1,1.9348492809799023
King of Clubs,Nintendo,35,0,1,1.9354612169370002
Rambo: The Video Game,PC,34,316,1,1.798129503557052
Jekyll & Hyde (2001),PC,34,5,1,1.7647188288635434
Shadow Harvest: Phantom Ops,PC,34,34,1,1.7640056192133902
Takedown: Red Sabre,PC,34,169,1,1.7711193954745927
