Developer,Trending Games Count
DaedalicEntertainmentForgottenKey,1
ParadoxNorth,1
IcePickLodgetinyBuild,1
CoffeePoweredMachine,1
FacepunchStudios,1
WargamingnetPershaStudia,1
RockPocketGames,1
SunSoft,1
XaviantGamesXaviant,1
KirooGames,1
BlackTowerStudiosNighthawkInteractive,1
HaggardGames,1
FatsharkABFatshark,1
BenjaminRivers,1
IMGNPRO,1
TeotlStudios,1
DevilsDetails,1
FromSoftwareAcquire,1
GigawattStudios,1
LionbiteGames,1
DaedalicStudioWest,1
MultiverseGamesMultiverse,1
Acclaim,1
OtherOceanInteractiveSonyInteractiveEntertainment,1
StormcloudGamesLimited,1
BuzzMonkey,1
IventGames,1
DeepSilverSproingInteractiveMediaSproing,1
ROIGAMESInc,1
EpicenterStudios,1
WiredProductions,1
ConfoundingFactor,1
BandanaKid,1
NitroGames,1
AppealBigbenGames,1
DeepSpace,1
CarlosCoronado,1
CurveDigital,1
IntroversionSoftware,1
MagikoGaming,1
MagicSandbox,1
Sourcenext,1
SpiralHouse,1
BlitzGamesStudios,1
PatheaGames,1
RevistonicRevistronic,1
NtroniumGames,1
ArachnidGames,1
Mastiff,1
343IndustriesVanguardGames,1
QEntertainment,1
HerInteractive,1
Ganbarion,1
FlyingMollusk,1
3D2Entertainment,1
XGenStudios,1
MediaVision,1
AquaPlus,1
Treasure,1
TimberlineStudio,1
VUGames,1
CrescentMoonGames,1
EdenGamesMobile,1
JFiGames,1
AspyrAspire,1
FinalBossGames,1
ApeLaw,1
Vatra,1
IllFonic,1
iFun4all,1
Innerloop,1
CroteamVlambeer,1
ChasingCarrots,1
TantalusTequilaWorks,1
RideonJapanInc,1
Xpec,1
3Sprockets,1
RoseCityGames,1
AmazeEntertainmentAmaze,1
ArmatureStudiocomcept,1
SCESantaMonicaFunBits,1
RhinoStudios,1
SeriousBrew,1
ReadyatDawnSCESantaMonica,1
Mandragora,1
BitboxLtd,1
AnkamaGames,1
UbisoftRomania,1
MinorKeyGames,1
TesseraStudios,1
RainDanceLX,1
Notch,1
SantaEntertainment,1
NexEntertainment,1
EACanada,1
PewterGamesStudios,1
DragonstoneDragonstoneSoftware,1
Eurocom,1
Infogrames,1
ZindagiGames,1
FugitiveGames,1
CliffhangerProductionsCliffhangerProductions,1
CrazyGames,1
Aspyr,1
GamesDistillery,1
JalecoEntertainment,1
GatlingGoatStudios,1
HarmonixMusicSystems,1
Maxis,1
IONLANDS,1
SCEJ,1
CookingMamaLimited,1
CohortStudios,1
Channel4,1
HighMoonStudiosIronGalaxyStudios,1
Racjin,1
CreativeEnglandCreativeEngland,1
HandCircus,1
Page44Studios,1
SquashySoftware,1
TriangleStudios,1
PunchlineShirogumi,1
THQAustralia,1
AmazeEntertainmentVivendiGames,1
VivaMediaVivaMediaLLC,1
